Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Strain,TREATMENT
SRR2121764,ChIP-Seq,51,2361258537,PRJNA290508,SAMN03892646,1572566695,B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114457,Trp53+/+,GSM1828855,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:48:00Z,1,GSM1828855,Primary B cells,SRP061385,C57BL/6,mock
SRR2121765,ChIP-Seq,51,3652149321,PRJNA290508,SAMN03892647,2440763582,B cells from spleen,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1114458,Trp53+/+,GSM1828856,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:49:00Z,1,GSM1828856,Primary B cells,SRP061385,C57BL/6,4h 7Gy
SRR2121766,ChIP-Seq,51,2363066946,PRJNA290508,SAMN03892648,1607819297,non-B cells from spleen,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1114459,Trp53+/+,GSM1828857,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:52:00Z,1,GSM1828857,Primary non-B cells,SRP061385,C57BL/6,mock
SRR2121767,ChIP-Seq,51,2006514369,PRJNA290508,SAMN03892649,1337480184,non-B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114460,Trp53+/+,GSM1828858,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:45:00Z,1,GSM1828858,Primary non-B cells,SRP061385,C57BL/6,4h 7Gy
SRR2121768,ChIP-Seq,51,1948642731,PRJNA290508,SAMN03892650,1333497876,spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114461,Trp53-/-,GSM1828859,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:45:00Z,1,GSM1828859,Primary splenic cells,SRP061385,C57BL/6,4h 7Gy
SRR2121769,ChIP-Seq,51,2488809333,PRJNA290508,SAMN03892651,1685359334,B cells from spleen,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1114462,Trp53+/+,GSM1828860,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:45:00Z,1,GSM1828860,Primary B cells,SRP061385,C57BL/6,4h 7Gy
SRR2121770,RNA-Seq,102,12068968338,PRJNA290507,SAMN03892652,8618676796,B cells from spleen,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1114463,Trp53-/-,GSM1828861,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:07:00Z,1,GSM1828861,Primary B cells,SRP061386,C57BL/6,mock
SRR2121771,RNA-Seq,102,10518977562,PRJNA290507,SAMN03892653,7194006333,B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114464,Trp53-/-,GSM1828862,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:13:00Z,1,GSM1828862,Primary B cells,SRP061386,C57BL/6,mock
SRR2121772,RNA-Seq,102,13316727096,PRJNA290507,SAMN03892654,9131564973,non-B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114465,Trp53-/-,GSM1828863,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:04:00Z,1,GSM1828863,Primary non-B cells,SRP061386,C57BL/6,mock
SRR2121773,RNA-Seq,102,13106327514,PRJNA290507,SAMN03892655,8711459572,non-B cells from spleen,GEO,public,"fastq,sra",s3,s3.us-east-1,SRX1114466,Trp53-/-,GSM1828864,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:09:00Z,1,GSM1828864,Primary non-B cells,SRP061386,C57BL/6,mock
SRR2121774,RNA-Seq,102,9305040270,PRJNA290507,SAMN03892656,6346851143,B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114467,Trp53-/-,GSM1828865,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:05:00Z,1,GSM1828865,Primary B cells,SRP061386,C57BL/6,4h 7Gy
SRR2121775,RNA-Seq,102,11083485546,PRJNA290507,SAMN03892657,7561039398,B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114468,Trp53-/-,GSM1828866,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:11:00Z,1,GSM1828866,Primary B cells,SRP061386,C57BL/6,4h 7Gy
SRR2121776,RNA-Seq,102,11256099024,PRJNA290507,SAMN03892658,7371239530,non-B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114469,Trp53-/-,GSM1828867,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T18:27:00Z,1,GSM1828867,Primary non-B cells,SRP061386,C57BL/6,4h 7Gy
SRR2121777,RNA-Seq,102,7736149812,PRJNA290507,SAMN03892659,5050609616,non-B cells from spleen,GEO,public,"sra,fastq",s3,s3.us-east-1,SRX1114470,Trp53-/-,GSM1828868,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-08-25T00:00:00Z,2015-07-21T17:55:00Z,1,GSM1828868,Primary non-B cells,SRP061386,C57BL/6,4h 7Gy
